PARENTNO,PROD_STATUS,PROD_MODDATE,BRAND,GISONG,ASPSCD,SPEED,CAPA,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BLOCKNO
198514L09,WIP,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L09,WIP,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
193110L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
193110L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197428L01,RLS,2026-01-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197428L01,RLS,2026-01-15,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
198514L31,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L31,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L33,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L33,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L36,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L36,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L37,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L37,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L38,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L38,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L29,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L29,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L30,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L30,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L34,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L34,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L35,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L35,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
198514L32,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
198514L32,RLS,2026-06-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
196419L01,RLS,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
196419L01,RLS,2026-06-17,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
202230L10,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
202230L10,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L11,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
202230L11,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L12,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
202230L12,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L13,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L13,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
197207L25,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L25,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L26,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L26,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
202230L09,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L09,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
197207L23,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L23,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L24,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L24,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
195591L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195591L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
195591L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195591L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
195592L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195592L01,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
195592L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195592L02,RLS,2026-08-19,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
195880L01,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,2,,B120B03
195880L01,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,1,,B120B03
197207L22,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
197207L22,RLS,2026-06-16,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000284G0100,BALANCE WEIGHT,CONCRETE,0,,B120B03
202230L15,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L15,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
202230L16,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L16,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
202230L14,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L14,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
202230L17,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000067G0100,BALANCE WEIGHT,CONCRETE,3,,B120B03
202230L17,RLS,2026-08-26,미등록/기타,미등록/기타,미등록/기타,미등록/기타,미등록/기타,12000283G0100,BALANCE WEIGHT,CONCRETE,5,,B120B03
