HOGI,MOD_DATE,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BRAND,GISONG,SPEED,CAPA,PLANT,ETHRU,CWT_SAFETY,CWT_BALANCE,CAR_BB,CAR_AA,MATERIAL
193110L02,20260819,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,-,NEO_MRL,WBSS,60,600,미지정,,N,50,1395,1310,CONCRETE (시멘트)
193110L02,20260819,12000284G0100,BALANCE WEIGHT,CONCRETE,0,-,NEO_MRL,WBSS,60,600,미지정,,N,50,1395,1310,CONCRETE (시멘트)
197428L01,20260115,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,-,NEX_MRL,GTSS,60,1000,미지정,,N,50,1555,1660,CONCRETE (시멘트)
197428L01,20260115,12000284G0100,BALANCE WEIGHT,CONCRETE,0,-,NEX_MRL,GTSS,60,1000,미지정,,N,50,1555,1660,CONCRETE (시멘트)
198514L31,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L31,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L33,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L33,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L36,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L36,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L37,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L37,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L38,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L38,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L29,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L29,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L30,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L30,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L34,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L34,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L35,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L35,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1000,미지정,Y,N,50,1760,1760,CONCRETE (시멘트)
198514L32,20260619,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
198514L32,20260619,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS,60,1150,미지정,,N,50,1770,1810,CONCRETE (시멘트)
196419L01,20260617,121C0218G0100,BALANCE WEIGHT,CONCRETE,0,-,NEO_MRL,WBSS2_(SSVF),60,1000,미지정,,N,50,1555,1660,CONCRETE (시멘트)
