PID,VERSION,HOUID,REG_DATE
B181A01,-1,1122808,2026-07-10T03:02:46.000+00:00
B181A01,0,1108020,2021-07-15T01:07:07.000+00:00
B181A01,1,1118462,2022-01-20T07:15:07.000+00:00
B181A01,2,1118464,2022-01-20T07:22:28.000+00:00
B181A01,3,1122804,2022-03-08T00:19:01.000+00:00
B181A01,4,1122806,2022-03-08T00:29:07.000+00:00
B181A01,5,1122807,2022-03-08T00:29:24.000+00:00
B181A01,6,1122809,2022-03-08T00:33:28.000+00:00
B181A01,7,1122814,2022-03-08T00:54:01.000+00:00
B181A01,8,1122823,2022-03-08T01:10:46.000+00:00
B181A01,9,1122825,2022-03-08T01:12:20.000+00:00
B181A01,10,1122826,2022-03-08T01:16:34.000+00:00
B181A01,11,1122833,2022-03-08T01:46:09.000+00:00
B181A01,12,1122961,2022-03-10T00:34:40.000+00:00
B181A01,13,1141499,2022-09-01T01:21:05.000+00:00
B181A01,14,1144210,2022-09-21T05:13:48.000+00:00
B181A01,15,1155627,2022-12-15T09:28:41.000+00:00
B181A01,16,1185269,2023-07-11T06:08:51.000+00:00
B181A01,17,1206386,2024-01-11T04:22:11.000+00:00
B181A01,18,1206403,2024-01-11T04:54:49.000+00:00
B181A01,19,1208284,2024-01-24T22:59:59.000+00:00
B181A01,20,1209844,2024-02-06T00:51:35.000+00:00
B181A01,21,1216329,2024-03-29T03:50:01.000+00:00
B181A01,22,1216335,2024-03-29T03:52:23.000+00:00
B181A01,23,1219104,2024-04-22T23:22:14.000+00:00
B181A01,24,1219267,2024-04-23T07:04:23.000+00:00
B181A01,25,1286436,2026-03-25T09:36:28.000+00:00
B181A01,26,1287801,2026-04-03T06:57:46.000+00:00
B181A01,27,1288740,2026-04-10T05:35:23.000+00:00
B181A01,28,1298442,2026-07-10T03:01:06.000+00:00
B181A01,29,1300808,2026-08-06T06:20:11.000+00:00
