PID,VERSION,HOUID,REG_DATE,USERID
CERTI_E331A,-1,1267301,2025-09-10T01:00:15.000+00:00,2028379
CERTI_E331A,0,1125981,2022-04-18T00:47:55.000+00:00,2028409
CERTI_E331A,1,1126094,2022-04-19T07:41:51.000+00:00,2028409
CERTI_E331A,2,1148169,2022-10-21T03:06:11.000+00:00,2028409
CERTI_E331A,3,1190290,2023-08-21T05:41:57.000+00:00,2028409
CERTI_E331A,4,1245206,2025-01-13T08:21:38.000+00:00,2032279
CERTI_E331A,5,1267216,2025-09-09T07:25:35.000+00:00,2028379
CERTI_E331A,6,1267286,2025-09-10T00:14:47.000+00:00,2028379
CERTI_E331A,7,1267309,2025-09-10T01:25:48.000+00:00,2028379
CERTI_E331A,8,1267311,2025-09-10T01:28:46.000+00:00,2028379
CERTI_E331A,9,1267313,2025-09-10T01:33:14.000+00:00,2028379
CERTI_E331A,10,1267393,2025-09-10T07:31:26.000+00:00,2028379
CERTI_E331A,11,1267398,2025-09-10T07:47:18.000+00:00,2028379
CERTI_E331A,12,1275083,2025-12-04T04:29:09.000+00:00,2033224
CERTI_E331A,13,1301407,2026-08-13T00:06:38.000+00:00,2033224
