NO,구분,주요 변경 필드,v44 정보,v45 정보,상세 변경 내용
2,수정(MODIFIED),"VAL1, REMARKS",REMARKS:FIRST_DATE | KEYS:[CALL=CAL_FIRST_DATE],REMARKS:NG550_CS | KEYS:[CALL=CAL_NG550_CS],VAL1: [CAL_FIRST_DATE] -> [CAL_NG550_CS] | REMARKS: [FIRST_DATE] -> [NG550_CS]
3,수정(MODIFIED),"KEY1, VAL1, REMARKS",REMARKS:A103A03_1 : PULL BOX ASSY | KEYS:[OUTPUT=EL_PA103A03_1],REMARKS:FIRST_DATE | KEYS:[CALL=CAL_FIRST_DATE],KEY1: [OUTPUT] -> [CALL] | VAL1: [EL_PA103A03_1] -> [CAL_FIRST_DATE] | REMARKS: [A103A03_1 : PULL BOX ASSY] -> [FIRST_DATE]
4,수정(MODIFIED),"KEY1, VAL1, REMARKS",KEYS:[EL_PA103A03_1=None],REMARKS:A103A03_1 : PULL BOX ASSY | KEYS:[OUTPUT=EL_PA103A03_1],KEY1: [EL_PA103A03_1] -> [OUTPUT] | VAL1: [] -> [EL_PA103A03_1] | REMARKS: [] -> [A103A03_1 : PULL BOX ASSY]
5,수정(MODIFIED),"KEY1, VAL1, REMARKS",REMARKS:A103A03_2 : MC FOUNDATION COVER | KEYS:[OUTPUT=EL_PA103A03_2],KEYS:[EL_PA103A03_1=None],KEY1: [OUTPUT] -> [EL_PA103A03_1] | VAL1: [EL_PA103A03_2] -> [] | REMARKS: [A103A03_2 : MC FOUNDATION COVER] -> []
6,수정(MODIFIED),"KEY1, VAL1, REMARKS",KEYS:[EL_PA103A03_2=None],REMARKS:A103A03_2 : MC FOUNDATION COVER | KEYS:[OUTPUT=EL_PA103A03_2],KEY1: [EL_PA103A03_2] -> [OUTPUT] | VAL1: [] -> [EL_PA103A03_2] | REMARKS: [] -> [A103A03_2 : MC FOUNDATION COVER]
7,수정(MODIFIED),"KEY1, VAL1, KEY2, VAL2, REMARKS","REMARKS:A103A03_3 : SUPPORT BEAM (CAR HITCH측) | KEYS:[OUTPUT=EL_PA103A03_3, OUTPUT=EL_PA103A03_4]",KEYS:[EL_PA103A03_2=None],KEY1: [OUTPUT] -> [EL_PA103A03_2] | VAL1: [EL_PA103A03_3] -> [] | KEY2: [OUTPUT] -> [] | VAL2: [EL_PA103A03_4] -> [] | REMARKS: [A103A03_3 : SUPPORT BEAM (CAR HITCH측)] -> []
8,수정(MODIFIED),"KEY1, VAL1, KEY2, VAL2, REMARKS","REMARKS:A103A03_4 : SUPPORT BEAM (CWT HITCH측) | KEYS:[EL_PA103A03_3=None, EL_PA103A03_4=None]","REMARKS:A103A03_3 : SUPPORT BEAM (CAR HITCH측) | KEYS:[OUTPUT=EL_PA103A03_3, OUTPUT=EL_PA103A03_4]",KEY1: [EL_PA103A03_3] -> [OUTPUT] | VAL1: [] -> [EL_PA103A03_3] | KEY2: [EL_PA103A03_4] -> [OUTPUT] | VAL2: [] -> [EL_PA103A03_4] | REMARKS: [A103A03_4 : SUPPORT BEAM (CWT HITCH측)] -> [A103A03_3 : SUPPORT BEAM (CAR HITCH측)]
9,수정(MODIFIED),"ADDR, KEY1, KEY2, REMARKS",ADDR:MAIN,"REMARKS:A103A03_4 : SUPPORT BEAM (CWT HITCH측) | KEYS:[EL_PA103A03_3=None, EL_PA103A03_4=None]",ADDR: [MAIN] -> [] | KEY1: [] -> [EL_PA103A03_3] | KEY2: [] -> [EL_PA103A03_4] | REMARKS: [] -> [A103A03_4 : SUPPORT BEAM (CWT HITCH측)]
10,수정(MODIFIED),"ADDR, SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, KEY1, VAL1","SPECS:[EL_ATYP=,GTLX,GTLX_E, EL_ETM=?GH?, FIRST_DATE=<=20230806] | KEYS:[EL_PA103A03_1=10101604G0100]",ADDR:MAIN,"ADDR: [] -> [MAIN] | SPEC1: [EL_ATYP] -> [] | CON1: [,GTLX,GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [?GH?] -> [] | SPEC3: [FIRST_DATE] -> [] | CON3: [<=20230806] -> [] | KEY1: [EL_PA103A03_1] -> [] | VAL1: [10101604G0100] -> []"
11,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, KEY1, VAL1",,"SPECS:[EL_ATYP=,GTLX,GTLX_E, EL_ETM=?GH?, FIRST_DATE=<=20230806] | KEYS:[EL_PA103A03_1=10101604G0100]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [,GTLX,GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [?GH?] | SPEC3: [] -> [FIRST_DATE] | CON3: [] -> [<=20230806] | KEY1: [] -> [EL_PA103A03_1] | VAL1: [] -> [10101604G0100]"
12,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC6, CON6, SPEC7, CON7, SPEC8, CON8, SPEC9, CON9, SPEC10, CON10, KEY1, VAL1, GOTO, REMARKS","GOTO:PICK3 | REMARKS:K10310416G01 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=N, EL_ECWTP=R, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_ERPW=,2,3,4, EL_EPP=>=500,<=600] | KEYS:[EL_PA103A03_2=C101P013266]",,"SPEC1: [EL_ABRAND] -> [] | CON1: [NEX_MR] -> [] | SPEC2: [EL_ASPSCD] -> [] | CON2: [KC01] -> [] | SPEC3: [EL_DREUSE] -> [] | CON3: [N] -> [] | SPEC4: [EL_ECWTP] -> [] | CON4: [R] -> [] | SPEC6: [EL_ETM] -> [] | CON6: [,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD] -> [] | SPEC7: [EL_ACAPA] -> [] | CON7: [>=450,<=1200] -> [] | SPEC8: [EL_ASPD] -> [] | CON8: [>=60,<=105] -> [] | SPEC9: [EL_ERPW] -> [] | CON9: [,2,3,4] -> [] | SPEC10: [EL_EPP] -> [] | CON10: [>=500,<=600] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [C101P013266] -> [] | GOTO: [PICK3] -> [] | REMARKS: [K10310416G01] -> []"
13,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G01 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=N, EL_ECWTP=R, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_ERPW=,2,3,4, EL_EPP=>600,<=700] | KEYS:[EL_PA103A03_2=C101P013267]","GOTO:PICK3 | REMARKS:K10310416G01 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=N, EL_ECWTP=R, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_ERPW=,2,3,4, EL_EPP=>=500,<=600, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013266]","CON10: [>600,<=700] -> [>=500,<=600] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013267] -> [C101P013266]"
14,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G01 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=N, EL_ECWTP=R, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_ERPW=,2,3,4, EL_EPP=>700,<=800] | KEYS:[EL_PA103A03_2=C101P013268]","GOTO:PICK3 | REMARKS:K10310416G01 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=N, EL_ECWTP=R, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_ERPW=,2,3,4, EL_EPP=>600,<=700, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013267]","CON10: [>700,<=800] -> [>600,<=700] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013268] -> [C101P013267]"
15,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G01 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=N, EL_ECWTP=R, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_ERPW=,2,3,4, EL_EPP=>800,<=900] | KEYS:[EL_PA103A03_2=C101P013269]","GOTO:PICK3 | REMARKS:K10310416G01 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=N, EL_ECWTP=R, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_ERPW=,2,3,4, EL_EPP=>700,<=800, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013268]","CON10: [>800,<=900] -> [>700,<=800] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013269] -> [C101P013268]"
