VERSION,HOUID,DOUID,NO,ADDR,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20,GOTO,REMARKS,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30
44,1292445,91651266,1,INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1292445,91651267,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALL,CAL_FIRST_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST_DATE,,,,,,,,,,,,,,,,,,,,
44,1292445,91651268,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT,EL_PA103A03_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A103A03_1 : PULL BOX ASSY,,,,,,,,,,,,,,,,,,,,
44,1292445,91651269,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA103A03_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1292445,91651270,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT,EL_PA103A03_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A103A03_2 : MC FOUNDATION COVER,,,,,,,,,,,,,,,,,,,,
44,1292445,91651271,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1292445,91651272,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT,EL_PA103A03_3,OUTPUT,EL_PA103A03_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A103A03_3 : SUPPORT BEAM (CAR HITCH측),,,,,,,,,,,,,,,,,,,,
44,1292445,91651273,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA103A03_3,,EL_PA103A03_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A103A03_4 : SUPPORT BEAM (CWT HITCH측),,,,,,,,,,,,,,,,,,,,
44,1292445,91651274,9,MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1292445,91651275,10,,EL_ATYP,",GTLX,GTLX_E",EL_ETM,?GH?,FIRST_DATE,<=20230806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA103A03_1,10101604G0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1292445,91651276,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1292445,91651277,12,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">=500,<=600",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651278,13,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">600,<=700",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
44,1292445,91651279,14,,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,EL_DREUSE,N,EL_ECWTP,R,,,EL_ETM,",GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD",EL_ACAPA,">=450,<=1200",EL_ASPD,">=60,<=105",EL_ERPW,",2,3,4",EL_EPP,">700,<=800",,,,,,,,,,,,,,,,,,,,,EL_PA103A03_2,C101P013268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICK3,K10310416G01,,,,,,,,,,,,,,,,,,,,
