VERSION,HOUID,DOUID,NO,ADDR,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20,GOTO,REMARKS,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30,PID,REG_DATE,USERID,REG_USER_NAME
44,1264930,67916938,1,INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916939,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALL,CAL_NEX_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEX_TYPE,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916940,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAR_MATERIAL,{EL_BECM},CALL,CALC_MATERIAL_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916941,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT,EL_PE324A_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTRANCE COLUMN,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916942,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916943,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT,EL_PE324A_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2SLR(LEFT, RIGHT 구분용)",,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916944,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916945,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916946,9,,EL_ATYP,?US?,EL_ACD2,?ASME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US EXPORT,북미수출형,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916947,10,,EL_ABRAND,?NEX?,EL_BWMT,",?NEX?,?NXE?,?NXP?,VISC,NEOD,NEOD_A1",EL_AOPEN,1SCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEX,"표준 NEX PACKAGE , NEX PLUS",,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916948,11,,NEX_TYPE,",NEX_NEW,NEX_PLUS,NEX_ECO",EL_AOPEN,?2S?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEX SIDE OPEN,"NEX SIDE OPEN (STANDARD, PLUS 의장)",,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916949,12,,EL_ABRAND,NEO_MRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEO_MRL,NEO PACKAGE,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916950,13,,EL_AOPEN,?CO?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916951,14,,EL_AOPEN,2SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SR,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916952,15,,EL_AOPEN,2SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SL,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916953,16,,EL_AOPEN,2SLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SLR,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916954,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916955,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916956,19,MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916957,20,US EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916958,21,,EL_ATYP,?US?,EL_ACD2,?ASME?,EL_AOPEN,1SL,EL_ECHH,2134,EL_ECCH,2438,EL_ETHRU,N,EL_ASPSCD,?GAL_?,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400025G01{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916959,22,,EL_ATYP,?US?,EL_ACD2,?ASME?,EL_AOPEN,1SR,EL_ECHH,2134,EL_ECCH,2438,EL_ETHRU,N,EL_ASPSCD,?GAL_?,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400025G02{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67916960,23,,EL_ATYP,?US?,EL_ACD2,?ASME?,EL_AOPEN,1SLR,EL_ECHH,2134,EL_ECCH,2438,EL_ETHRU,Y,EL_ASPSCD,?GAL_?,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400025G01{MATERIAL_CODE},EL_PE324A_2,32400025G02{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
