PARENTNO,PROD_STATUS,PROD_MODDATE,BRAND,GISONG,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BLOCKNO
V801681,RLS,2026-08-18,,,,,,10101419G0100,TERMINAL BOX ASSY,GY17V/GY17/GY20/GY25,1,"DY25 조립용
",A101A99
N26703L02,RLS,2026-05-19,LUXEN_2,WBLX1_(LXVF),120,1150,KR00,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,- 랩핑 출하요청.,A101A01
N26703L01,RLS,2026-05-19,LUXEN_2,WBLX1_(LXVF),120,1150,KR00,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,- 랩핑 출하요청.,A101A01
N26703L05,RLS,2026-02-23,LUXEN_2,WBLX1_(LXVF),60,1150,KR00,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,- 랩핑 출하요청.,A101A01
210123L02,RLS,2026-04-14,LUXEN_2,WBLX1_(LXVF),150,1150,미지정,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,,A101A01
H00110NC204-H00110L01,WIP,2026-08-24,LUXEN_2,WBLX1_(LXVF),150,1150,KR00,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,,A101A01
213786L07,RLS,2026-09-01,LUXEN_2,WBLX1_(LXVF),90,1000,KR00,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,"- 입고장소 : 충주 물류창고
- 랩핑 출하요청.",A101A01
213786L05,RLS,2026-09-01,LUXEN_2,WBLX1_(LXVF),90,1000,KR00,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,"- 입고 장소 : 충주공장 물류창고
- 랩핑 출하요청.",A101A01
213786L04,RLS,2026-09-01,LUXEN_2,WBLX1_(LXVF),90,1000,KR00,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,"- 입고 장소 : 충주공장 물류창고
- 랩핑 출하요청.",A101A01
213786L03,RLS,2026-09-01,LUXEN_2,WBLX1_(LXVF),90,1000,KR00,10100569G0100,HANDLE,"GT17,GT25,GT35,GT50,GT70",1,"- 입고 장소 : 충주공장 물류창고
- 랩핑 출하요청.",A101A01
