PARENTNO,PROD_STATUS,PROD_MODDATE,BRAND,GISONG,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BLOCKNO
212438L01,RLS,2026-04-28,NEWYZER,GTSS_R,60,1000,KR00,DVRT101A1,TM,"재고/재공 대체용 파트 번호, DWG. NO=<VAR>",1,26.04.16  209166L01 청담동 132-15 TM 전용,A101A
N28485L28,RLS,2026-08-19,NEX_MR,GTLX,105,1000,KR00,DVRT101A1,TM,"재고/재공 대체용 파트 번호, DWG. NO=<VAR>",1,26.07.22 Q200723L012842 독산동952복합시설(강남) 재고 전용,A101A
193110L02,RLS,2026-08-19,NEO_MRL,WBSS,60,600,미지정,10110283G0300,TM,"GY17A, LEAD WIRE-LEFT",1,"GY17A-6R-3.9kW
- TM TYPE : GY17A, MOTOR : 3.9kW, SPEED : 60m/min
- ROPE : D6x6R, 2:1 ROPING, CAPACITY : 600kg
- 손끼임 방지 스티커 부착하여 출하할 것.",A101A
003991NS200-003991L03,RLS,2026-06-16,NOBRAND,WBST1_(STVF),60,1050,미지정,101104909,TM,BW215,1,"BW215-6R-11kW
- ROPE GUARD 2곳 적용
- TM TYPE : BW215, MOTOR : 11kW, ROPE : D12x6R
- COLOR : 7.5BG 7/2 
- CAPACITY=1050kg, CAR WEIGHT : 1950kg
- SPEED=60m/min, TRAVEL HT : 17700mm",A101A
H00012NC200-H00012L01,RLS,2026-07-07,NOBRAND,WBST1,60,1150,미지정,101104909,TM,BW215,1,"- BW215-6R-11kW
- TM TYPE : BW215, MOTOR : 11kW, ROPE : D12x6R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=1150kg, CAR WEIGHT=1532kg
- SPEED=60m/min, TRAVEL HT : 13120mm",A101A
N01894NC200-N01894L05,RLS,2026-06-30,NOBRAND,STVF5,60,550,미지정,101104900,TM,BW1491,1,"- BW1491-4R-5.5kW
- TM TYPE : BW1491, MOTOR : 5.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=550kg
- SPEED=60m/min, TRAVEL HT : 37100mm",A101A
N01894NC200-N01894L06,RLS,2026-06-30,NOBRAND,STVF5,60,550,미지정,101104900,TM,BW1491,1,"- BW1491-4R-5.5kW
- TM TYPE : BW1491, MOTOR : 5.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=550kg
- SPEED=60m/min, TRAVEL HT : 37800mm",A101A
N01894NC200-N01894L07,RLS,2026-06-30,NOBRAND,STVF5,60,550,미지정,101104900,TM,BW1491,1,"- BW1491-4R-5.5kW
- TM TYPE : BW1491, MOTOR : 5.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=550kg
- SPEED=60m/min, TRAVEL HT : 37800mm",A101A
N01894NC200-N01894L10,RLS,2026-06-30,NOBRAND,STVF5,60,550,미지정,101104900,TM,BW1491,1,"- BW1491-4R-5.5kW
- TM TYPE : BW1491, MOTOR : 5.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=550kg
- SPEED=60m/min, TRAVEL HT : 37800mm",A101A
N01894NC200-N01894L09,RLS,2026-06-30,NOBRAND,STVF5,60,550,미지정,101104900,TM,BW1491,1,"- BW1491-4R-5.5kW
- TM TYPE : BW1491, MOTOR : 5.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=550kg
- SPEED=60m/min, TRAVEL HT : 37100mm",A101A
N01894NC200-N01894L04,RLS,2026-06-30,NOBRAND,STVF5,60,550,미지정,101104900,TM,BW1491,1,"- BW1491-4R-5.5kW
- TM TYPE : BW1491, MOTOR : 5.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=550kg
- SPEED=60m/min, TRAVEL HT : 37100mm",A101A
N01894NC200-N01894L08,RLS,2026-06-30,NOBRAND,STVF5,60,550,미지정,101104900,TM,BW1491,1,"- BW1491-4R-5.5kW
- TM TYPE : BW1491, MOTOR : 5.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=550kg
- SPEED=60m/min, TRAVEL HT : 37100mm",A101A
N01894NC200-N01894L03,RLS,2026-06-30,NOBRAND,STVF5,60,900,미지정,101104902,TM,BW195,1,"- BW195-5R-9.5kW
- TM TYPE : BW195, MOTOR : 9.5kW, ROPE : D12x5R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=900kg
- SPEED=60m/min, TRAVEL HT : 37100mm",A101A
N01894NC200-N01894L01,RLS,2026-06-30,NOBRAND,STVF5,60,900,미지정,101104902,TM,BW195,1,"- BW195-5R-9.5kW
- TM TYPE : BW195, MOTOR : 9.5kW, ROPE : D12x5R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=900kg
- SPEED=60m/min, TRAVEL HT : 37100mm
- ROPE GUARD 추가바랍니다(10111012G0100 별도 청구함).",A101A
N01894NC200-N01894L14,RLS,2026-06-30,NOBRAND,STVF5,60,900,미지정,101104902,TM,BW195,1,"- BW195-5R-9.5kW
- TM TYPE : BW195, MOTOR : 9.5kW, ROPE : D12x5R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=900kg
- SPEED=60m/min, TRAVEL HT : 37100mm",A101A
N01894NC200-N01894L02,RLS,2026-06-30,NOBRAND,STVF5,60,900,미지정,101104902,TM,BW195,1,"- BW195-5R-9.5kW
- TM TYPE : BW195, MOTOR : 9.5kW, ROPE : D12x5R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=900kg
- SPEED=60m/min, TRAVEL HT : 37800mm",A101A
M15520NC220-M15520L11,RLS,2026-07-14,NOBRAND,WBST1_(STVF),60,900,미지정,101104902,TM,BW195,1,"BW195-5R-9.5kW
- ROPE GUARD 2곳 적용
- TM TYPE : BW195, MOTOR : 9.5kW, ROPE : D12x5R
- COLOR : 7.5BG 7/2 
- CAPACITY=900kg",A101A
M15520NC220-M15520L06,RLS,2026-07-14,NOBRAND,WBST1_(STVF),60,900,미지정,101104902,TM,BW195,1,"BW195-5R-9.5kW
- ROPE GUARD 2곳 적용
- TM TYPE : BW195, MOTOR : 9.5kW, ROPE : D12x5R
- COLOR : 7.5BG 7/2 
- CAPACITY=900kg",A101A
N01894NC200-N01894L13,RLS,2026-06-30,NOBRAND,STVF5,60,1150,미지정,101104908,TM,BW215,1,"- BW215-5R-11kW
- TM TYPE : BW215, MOTOR : 11kW, ROPE : D12x5R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=1150kg
- SPEED=60m/min, TRAVEL HT : 37800mm",A101A
N01894NC200-N01894L12,RLS,2026-06-30,NOBRAND,STVF5,60,750,미지정,101104901,TM,BW1492,1,"- BW1491-4R-7.5kW
- TM TYPE : BW1491, MOTOR : 7.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=750kg
- SPEED=60m/min, TRAVEL HT : 37100mm",A101A
N01894NC200-N01894L11,RLS,2026-06-30,NOBRAND,STVF5,60,750,미지정,101104901,TM,BW1492,1,"- BW1491-4R-7.5kW
- TM TYPE : BW1491, MOTOR : 7.5kW, ROPE : D12x4R
- COLOR : 7.7 GY 6.2/0.4
- CAPACITY=750kg
- SPEED=60m/min, TRAVEL HT : 37100mm",A101A
198514L09,WIP,2026-06-17,NEWYZER,WBSS,60,1150,미지정,10101422G0500,TM,"GY35A-R1, SANIL ENCODER적용,승안법개정적용",1,"GY35A-10R-7.5kW
- TM TYPE : GY35A, MOTOR : 7.5kW, SPEED : 60m/min
- ROPE : D6x10R, 2:1 ROPING, CAPACITY : 1150kg
- 손끼임 방지 스티커 부착하여 출하할 것.",A101A
205448L01,RLS,2026-06-17,NEWYZER,WBSS2_(SSVF),105,1000,미지정,10110285G1000,TM,"GY25B; HARDENED,SANIL ENCODER적용,승안법 개정적용, LEAD WIRE-LEFT,SKF베어링적용",1,"GY25B-10R-11kW
- TM TYPE : GY25B, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D6x10R, 2:1 ROPING, CAPACITY : 1000kg
- A 개정 이후도면 적용할 것
- 손끼임 방지 스티커 부착하여 출하할 것.",A101A
205448L03,RLS,2026-06-17,NEWYZER,GTSS_R,90,1000,미지정,10110285G1000,TM,"GY25B; HARDENED,SANIL ENCODER적용,승안법 개정적용, LEAD WIRE-LEFT,SKF베어링적용",1,"GY25B-10R-9.8kW
- TM TYPE : GY25B, MOTOR : 9.8kW, SPEED : 90m/min
- ROPE : D6x10R, 2:1 ROPING, CAPACITY : 1000kg
- A 개정 이후도면 적용할 것
- 손끼임 방지 스티커 부착하여 출하할 것.",A101A
205448L02,RLS,2026-07-15,NEWYZER,WBSS2_(SSVF),105,1000,미지정,10110285G1000,TM,"GY25B; HARDENED,SANIL ENCODER적용,승안법 개정적용, LEAD WIRE-LEFT,SKF베어링적용",1,"GY25B-10R-11kW
- TM TYPE : GY25B, MOTOR : 11kW, SPEED : 105m/min
- ROPE : D6x10R, 2:1 ROPING, CAPACITY : 1000kg
- A 개정 이후도면 적용할 것
- 손끼임 방지 스티커 부착하여 출하할 것.",A101A
196083L01,RLS,2026-06-16,NEO_MRL,WBSS2_(SSVF),105,1150,미지정,10110285G1000,TM,"GY25B; HARDENED,SANIL ENCODER적용,승안법 개정적용, LEAD WIRE-LEFT,SKF베어링적용",1,"GY25B-10R-13.2kW
- TM TYPE : GY25B, MOTOR : 13.2kW, SPEED : 105m/min
- ROPE : D6x10R, 2:1 ROPING, CAPACITY : 1150kg
- A 개정 이후도면 적용할 것
- 손끼임 방지 스티커 부착하여 출하할 것.",A101A
197428L01,RLS,2026-01-15,NEX_MRL,GTSS,60,1000,미지정,10101488G0300,TM,"GH25C, SPEED=60, CAPA=1000, DOMESTIC",1,"- TM : GH25C, MOTOR : 7.9kW, SPEED : 60m/m
- BELT : P3.3x3R, 2:1 ROPING, CAPACITY : 1000kg
- 손끼임 방지 스티커 부착하여 출하할 것.",A101A
V800629,RLS,2026-06-22,,,,,,10110354G0100,TM,GH31A,1,"충주타워 저층부 MRL 설치용(2024.08.29)
- TM : GH31A, MOTOR : 10.5kW, SPEED : 60m/m
- BELT : 4R, 2:1 ROPING, CAPACITY : 1600kg
- 손끼임 방지 스티커 부착하여 출하할 것.

-[저층부 MRL] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 충주 테스트타워 입구
- 입고요청일 : '24.09.20 ",A101A
