BRAND,GISONG,HOGI_CNT
IXEL,WBHS_(HSVF),276
IXEL,HSVF,1
LUXEN_1,GTLX_R,470
LUXEN_1,WBLX1_(LXVF),125
LUXEN_2,GTLX_R,1596
LUXEN_2,WBLX1_(LXVF),600
LUXEN_2,WBLX_US,3
LUXEN_2,미지정,1
NEO_MRL,GTSS_R,5
NEO_MRL,WBSS2_(SSVF),2
NEO_MRL,WBSS,1
NEWYZER,WBSS2_(SSVF),510
NEWYZER,GTSS_R,420
NEWYZER,WBSS_US,55
NEWYZER,WBHS_(SSVF),50
NEWYZER,WBSS,15
NEWYZER,WBSS1_(SSVF),1
NEWYZER,WBLX_US,1
NEX_MR,GTLX,4067
NEX_MR,GTLX_E,23
NEX_MRL,GTSS,1901
NEX_MRL,GTSS_E,111
NOBRAND,WBST1_(STVF),507
NOBRAND,미지정,316
NOBRAND,WBLX1_(LXVF),106
NOBRAND,STVF5,25
NOBRAND,WBSS2_(SSVF),23
NOBRAND,WBLX_SE,15
NOBRAND,WBHS_(HSVF),13
NOBRAND,LXVF,12
NOBRAND,WBST1,11
NOBRAND,WBSS1_(SSVF),4
NOBRAND,WBSS,4
NOBRAND,GTSS,4
NOBRAND,HSVF,3
NOBRAND,WBST_SE,2
NOBRAND,LXVF7,1
NOBRAND,LXVF1,1
NOBRAND,SSVF7,1
NOBRAND,SSVF,1
NOBRAND,STVF7,1
SPACESAVER,WBSS1_(SSVF),1
THEEL,SUVF,13
미지정,미지정,185
미지정,WBST1_(STVF),13
미지정,WBLX1_(LXVF),1
미지정,GTLX,1
