BRAND,GISONG,HOGI_CNT
N:EX_MR (넥스 기계실 유),GTLX,4321
N:EX_MRL (넥스 기계실 무),GTSS,2227
LUXEN 2:1,LXVF,2203
LUXEN 2:1,◎ GTLX_R,1682
New Yzer,WBSS,974
LUXEN 2:1,◎ WBLX1_(LXVF) ,684
New Yzer,◎ WBSS2_(SSVF),592
LUXEN 1:1,LXVF,569
NOBRAND,WBST1_(STVF),534
LUXEN 1:1,◎ GTLX_R,511
New Yzer,◎ GTSS_R,466
NOBRAND,,316
i-Xel,◎ WBHS_(HSVF),308
i-Xel,HSVF,259
,,242
NOBRAND,◎ WBLX1_(LXVF) ,189
LUXEN 1:1,◎ WBLX1_(LXVF) ,159
N:EX_MRL (넥스 기계실 무),◎ GTSS_E,115
NOBRAND,◎ WBSS2_(SSVF),71
New Yzer,WBSS_US,66
New Yzer,◎ WBHS_(SSVF),52
NOBRAND,WBLX_SE (중소기업 판매용),29
N:EX_MR (넥스 기계실 유),◎ GTLX_E,26
NOBRAND,STVF5 (단종),26
NOBRAND,◎ WBHS_(HSVF),23
LUXEN 1:1,WBLX_US,22
NOBRAND,WBSS,22
NOBRAND,◎ WBSS1_(SSVF),20
THE EL,SUVF,13
,WBST1_(STVF),13
NOBRAND,WBST1 (단종),12
NOBRAND,LXVF,12
NEO_MRL (네오 기계실 무),WBSS,8
New Yzer,◎ WBSS1_(SSVF),8
NEO_MRL (네오 기계실 무),◎ GTSS_R,5
NOBRAND,GTSS,4
NOBRAND,HSVF,4
LUXEN 2:1,WBLX_US,3
i-Xel,◎ WBLX1_(LXVF) ,3
NEO_MRL (네오 기계실 무),◎ WBSS2_(SSVF),3
New Yzer,WBLX_US,2
NOBRAND,WBST_SE (중소기업 판매용),2
NOBRAND,WBLX_US,2
,GTLX,2
NOBRAND,T&S (단종),1
NOBRAND,STVF7 (단종),1
New Yzer,◎ WBLX1_(LXVF) ,1
NOBRAND,LXVF1 (단종),1
LUXEN 2:1,,1
Space Saver,◎ WBSS1_(SSVF),1
NOBRAND,STVF (단종),1
NOBRAND,SSVF7 (단종),1
,GTSS,1
LUXEN 2:1,◎ WBHS_(HSVF),1
N:EX_MR (넥스 기계실 유),GTSS,1
NOBRAND,SSVF,1
,◎ WBLX1_(LXVF) ,1
NOBRAND,LXVF7 (단종),1
