GISONG,HOGI_CNT,ITEM_CNT
GTLX,4321,21484
LXVF,2784,4535
GTSS,2231,27459
◎ GTLX_R,2193,16222
WBSS,1004,2020
◎ WBLX1_(LXVF) ,918,6199
◎ WBSS2_(SSVF),617,5713
,559,628
WBST1_(STVF),546,1476
◎ GTSS_R,471,7090
◎ WBHS_(HSVF),318,5217
HSVF,263,734
◎ GTSS_E,115,810
WBSS_US,66,170
◎ WBHS_(SSVF),52,488
WBLX_SE (중소기업 판매용),29,36
WBLX_US,29,57
STVF5 (단종),26,54
◎ GTLX_E,26,82
◎ WBSS1_(SSVF),21,37
SUVF,13,228
WBST1 (단종),12,30
WBST_SE (중소기업 판매용),2,4
STVF (단종),1,14
LXVF1 (단종),1,3
SSVF,1,1
LXVF7 (단종),1,1
T&S (단종),1,1
STVF7 (단종),1,2
SSVF7 (단종),1,2
