PARTNO,PARTNAME,SPEC,CMT,HOGI_CNT,ITEM_CNT
18110414G1700,SUBWEIGHT,"SS400,30kg",,965,965
C18110825G2700,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,782,782
C18110824G270A,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,482,482
18110825G4100,SUBWEIGHT,"CONCRETE(5.2),40kg,G/S",- SPRAY COLOR : BLACK,416,416
18110412G2100,SUBWEIGHT,"CONCRETE,30kg",,366,366
18110824G410A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,360,360
18110413G0900,SUBWEIGHT,"FC,30kg",,316,316
C18110824G2700,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,294,294
18110411G1200,SUBWEIGHT,"CONCRETE,30kg",,287,287
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=920 (35/BG-160/35 -> 50/820/50 로 변경), SW=180, SC=SE=80",285,285
18110346G0400,SUBWEIGHT,"SS400,30kg",,261,261
18110824G4100,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,250,250
C18110825G2600,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,249,249
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=725 (35/BG-160/35 -> 50/625/50 로 변경), SW=170, SC=SE=70",211,211
18110825G2700,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,193,193
18110414G2100,SUBWEIGHT,"SS400,30kg",,169,169
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=900 (35/BG-160/35 -> 40/820/40 로 변경), SW=180, SC=SE=80",168,168
18110825G3600,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,161,161
18110414G1800,SUBWEIGHT,"SS400,30kg",,161,161
18110413G0800,SUBWEIGHT,"FC,30kg",,159,159
18110412G0500,SUBWEIGHT,"CONCRETE,30kg",,152,152
C18110824G260A,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,148,148
18110414G9100,SUBWEIGHT,"SS400,30kg","- MATERIAL : SS400, WEIGHT : 30kg/EA
- [BG-90]=705 (35/BG-160/35 -> 40/625/40 로 변경), SW=170, SC=SE=70",140,140
18110825G3100,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,130,130
18110824G360A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,124,124
18110413G0500,SUBWEIGHT,"FC,30kg",,123,123
C18110825G2500,SUBWEIGHT,"CONCRETE(5.2),30kg,G/S",- SPRAY COLOR : BLACK,121,121
18110824G270A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,107,107
18110298G0400,SUBWEIGHT,"SS400,20kg/EA",,105,105
C18110824G2600,SUBWEIGHT,"CONCRETE(3.2),30kg,G/S",- SPRAY COLOR : BLACK,101,101
18110824G440A,SUBWEIGHT,"CONCRETE(3.2),30kg",- SPRAY COLOR : BLACK,97,97
18110414G2100,SUBWEIGHT,"SS400,30kg","
- 1차 입고수량 : 89 EA / 2차 입고수량 : 4 EA",92,92
18110411G0600,SUBWEIGHT,"CONCRETE,30kg",,89,89
