PID,VERSION,NO,ADDR,GOTO,SPEC1,CON1,SPEC2,CON2,KEY1,VAL1,KEY2,VAL2,REMARKS
CAL_NEXBRAND_CMT,129,1,INIT,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,2,-,-,-,-,-,-,CALL,EL_PE321A,-,-,CEILING_TYPE
CAL_NEXBRAND_CMT,129,3,-,-,-,-,-,-,CALL,EL_PE322A,-,-,"E322A_M1, E322A_M2, E322A_M3, E322A_M4, E322A_M5, E322A_W1L, E322A_W2L"
CAL_NEXBRAND_CMT,129,4,-,-,-,-,-,-,CALL,EL_PE321A06,-,-,FAN 관련
CAL_NEXBRAND_CMT,129,5,-,-,-,-,-,-,CALL,EL_PE322A15,-,-,CLNDWG
CAL_NEXBRAND_CMT,129,6,-,-,-,-,-,-,CALL,EL_PF321A15,-,-,에어컨 2개 적용 & CCTV 적용시 CCTV HOLE WORKING DWG 문구 추가
CAL_NEXBRAND_CMT,129,7,-,-,-,-,-,-,CALL,EL_PE321A28,-,-,DWG_CEILINGPLATFORM
CAL_NEXBRAND_CMT,129,8,-,-,-,-,-,-,CALL,EL_PE321A99,-,-,"CCTV HOLE 관련 주석 (EL_PE321A99, E321A99_CCTV_P, E321A99_HOLE)"
CAL_NEXBRAND_CMT,129,9,-,-,-,-,-,-,CALL,EL_PE321A21,-,-,EL_PE321A21_2 (CDS19 FAN LOUVER 주석 관련)
CAL_NEXBRAND_CMT,129,10,-,-,-,-,-,-,CALL,CAL_NEX_TYPE,-,-,-
CAL_NEXBRAND_CMT,129,11,-,-,-,-,-,-,CALL,CAL_CEILING_EXIT,-,-,-
CAL_NEXBRAND_CMT,129,12,-,-,-,-,-,-,CALL,CAL_CEILING_PAD_CMT,-,-,-
CAL_NEXBRAND_CMT,129,13,-,-,-,-,-,-,CALL,CAL_NEX_CEILING_PLATE_HOLE_DWG,-,-,-
CAL_NEXBRAND_CMT,129,14,-,-,-,-,-,-,CALL,CAL_CEILING_PLATE_HOLE_DWG_CMT,-,-,"NEX 표준천장(다른 부품으로 표준의장 N으로 입력된 현장) 천장 홀 가공도
NEX 표준의장 입력된 경우, CAL_NEXBRAND_CMT 내 CAL_NEX_CEILING_PLATE_HOLE_DWG 에서 홀 가공도 불러옴"
CAL_NEXBRAND_CMT,129,15,-,-,-,-,-,-,CALL,CAL_CEILING_REINFORCE_CMT,-,-,CEILING_WORK_DWG 사용
CAL_NEXBRAND_CMT,129,16,-,-,-,-,-,-,CALL,CAL_AA_FRAME,-,-,-
CAL_NEXBRAND_CMT,129,17,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,18,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,19,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BMDL,"!(VISC,NEOD,NEOD_A1)",E321A_M2,[$ {EL_EWM2}-2 $],-,-,NEX는 M2값이 WALL과 CEILING이 다름 (WALL : ({EL_ECCA}-{E322A_M1})/2+21 / CEILING ({EL_ECCA}-{E322A_M1})/2+19)
CAL_NEXBRAND_CMT,129,20,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,21,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,-,-,-,-
CAL_NEXBRAND_CMT,129,22,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P022,-,-,P022
CAL_NEXBRAND_CMT,129,23,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P017,-,-,CDS19 (천장판:P017)
CAL_NEXBRAND_CMT,129,24,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P023,-,-,CDS21 (천장판:P023)
CAL_NEXBRAND_CMT,129,25,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P023,-,-,CDS31 (천장판:P023)
CAL_NEXBRAND_CMT,129,26,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P021,-,-,"CDS31 (천장판:P021), 11월 18일 부터 적용"
CAL_NEXBRAND_CMT,129,27,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P023,-,-,CDS91 (천장판:P023)
CAL_NEXBRAND_CMT,129,28,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P026,-,-,CDF35 (천장판:P026)
CAL_NEXBRAND_CMT,129,29,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P023,-,-,CDF26 (천장판:P023)
CAL_NEXBRAND_CMT,129,30,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P026,-,-,CDI3DA1 (천장판:P026)
CAL_NEXBRAND_CMT,129,31,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P026,-,-,P026
CAL_NEXBRAND_CMT,129,32,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P022,-,-,P022
CAL_NEXBRAND_CMT,129,33,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,P027,-,-,P027
CAL_NEXBRAND_CMT,129,34,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,"CEILING PLATE : P022, DECO PLATE : P017+SUSMIR",-,-,P017
CAL_NEXBRAND_CMT,129,35,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,N,NEX_CC,"CEILING PLATE : P022, DECO PLATE : P017+SUSMIR",-,-,P017
CAL_NEXBRAND_CMT,129,36,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_BCLC,!N,NEX_CC,{EL_BCLC},-,-,-
CAL_NEXBRAND_CMT,129,37,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,38,-,-,-,-,-,-,EE_GAP,0,-,-,-
CAL_NEXBRAND_CMT,129,39,-,-,EL_ATYP,",GTSS_E,GTSS",EL_DSETUP,OT_GEN2,EE_GAP,255,-,-,OT_GEN2 현장 천장 EE 값 변경 (CAL_CEILING_BASIC_INFO_CMT Ver.28 첨부파일 참조)
