PID,VERSION,HOUID,REG_DATE
AUTO_EL_ZERR_M3,-1,1181857,2026-08-07T08:43:21.000+00:00
LIMIT_PASS,8718,1300949,2026-08-07T08:17:18.000+00:00
B182A01,32,1300945,2026-08-07T08:09:05.000+00:00
LIMIT_PASS,8717,1300938,2026-08-07T08:03:04.000+00:00
7009774_AUTO,147,1300937,2026-08-07T07:34:48.000+00:00
2035103_AUTO,1,1300936,2026-08-07T07:32:39.000+00:00
LIMIT_PASS,8716,1300934,2026-08-07T07:29:39.000+00:00
LIMIT_001_MANDATORY,241,1300930,2026-08-07T07:25:27.000+00:00
DUTY_YOUNGUP,5357,1300928,2026-08-07T07:24:46.000+00:00
LIMIT_001_MANDATORY,240,1300926,2026-08-07T07:20:28.000+00:00
CAL_CHINA_PARTS,267,1300925,2026-08-07T07:20:15.000+00:00
DUTY_YOUNGUP,5356,1300924,2026-08-07T07:09:38.000+00:00
BOM_E321A,-1,1245999,2026-08-07T07:08:38.000+00:00
TEST_2014718,556,1300923,2026-08-07T07:04:42.000+00:00
LIMIT_PASS,8715,1300921,2026-08-07T07:00:08.000+00:00
LIMIT_001_MANDATORY,239,1300918,2026-08-07T06:39:14.000+00:00
BOM_DIRECTSOURCING,3,1300916,2026-08-07T06:29:15.000+00:00
DUTY_TABLE_THEEL,15,1300913,2026-08-07T06:18:32.000+00:00
2031388_AUTO,640,1300912,2026-08-07T06:12:41.000+00:00
EL_PE280A,118,1300910,2026-08-07T06:10:45.000+00:00
LIMIT_PASS,8714,1300907,2026-08-07T05:26:33.000+00:00
PICK_B120A_T19EX,13,1300906,2026-08-07T05:26:23.000+00:00
TEST_2014718,555,1300905,2026-08-07T05:24:43.000+00:00
PICK_B120B02,31,1300903,2026-08-07T05:20:41.000+00:00
CAL_PLAN_EX,61,1300902,2026-08-07T05:10:20.000+00:00
7010434_AUTO,31,1300901,2026-08-07T05:03:29.000+00:00
DUTY_TABLE_NEWYZER,61,1300900,2026-08-07T04:58:34.000+00:00
PICK_B120A_T19EX,-1,1181722,2026-08-07T04:57:51.000+00:00
7010434_AUTO,-1,1300899,2026-08-07T04:53:58.000+00:00
7010434_AUTO,30,1300898,2026-08-07T04:46:51.000+00:00
CAL_PLAN_EX,60,1300896,2026-08-07T04:43:04.000+00:00
SH_E326A01,6,1300893,2026-08-07T04:21:55.000+00:00
LIMIT_PASS_SHIPDAT,476,1300889,2026-08-07T04:07:11.000+00:00
LIMIT_PASS,8713,1300888,2026-08-07T04:06:27.000+00:00
7009775_AUTO,284,1300883,2026-08-07T03:28:59.000+00:00
2036762_AUTO,9,1300878,2026-08-07T02:35:55.000+00:00
CALC_SAP_ZPPR050D_MANAGER,1,1300873,2026-08-07T02:01:26.000+00:00
2035898_PID,172,1300872,2026-08-07T01:43:12.000+00:00
A103B06,10,1300869,2026-08-07T01:37:33.000+00:00
EL_PA103B06,16,1300868,2026-08-07T01:36:24.000+00:00
LIMIT_PASS,8712,1300866,2026-08-07T01:21:47.000+00:00
DUTY_YOUNGUP,5355,1300865,2026-08-07T01:20:53.000+00:00
DUTY_YOUNGUP,5354,1300864,2026-08-07T01:17:03.000+00:00
LIMIT_PASS,8711,1300863,2026-08-07T01:14:43.000+00:00
DUTY_TABLE_NEWYZER,60,1300859,2026-08-07T00:44:29.000+00:00
LIMIT_015_LAYOUT,409,1300858,2026-08-07T00:43:59.000+00:00
DUTY_TABLE,245,1300857,2026-08-07T00:37:53.000+00:00
LIMIT_005_JAVA,-1,1102095,2026-08-07T00:37:29.000+00:00
DEP_CJM1,-1,1100675,2026-08-07T00:37:06.000+00:00
AUTO_EL_EGVRP,-1,1100649,2026-08-07T00:36:43.000+00:00
EL_CRH,-1,1100630,2026-08-07T00:36:26.000+00:00
F294AA_2,1,1300856,2026-08-07T00:35:12.000+00:00
7009775_AUTO,283,1300855,2026-08-07T00:32:18.000+00:00
DUTY_YOUNGUP_FIN,1716,1300854,2026-08-07T00:27:57.000+00:00
LIMIT_014_OPTION,279,1300850,2026-08-07T00:12:24.000+00:00
DUTY_YOUNGUP_FIN,1715,1300849,2026-08-07T00:09:40.000+00:00
LIMIT_PASS,8710,1300842,2026-08-06T23:51:46.000+00:00
A204A53_28,37,1300841,2026-08-06T23:49:27.000+00:00
A204A53_28,36,1300840,2026-08-06T23:49:10.000+00:00
DUTY_YOUNGUP_FIN,1714,1300839,2026-08-06T23:47:24.000+00:00
A204A53_28,35,1300837,2026-08-06T23:34:28.000+00:00
A204A53_28,34,1300836,2026-08-06T23:33:52.000+00:00
EL_PF321A15,-1,1116291,2026-08-06T08:33:39.000+00:00
AUTO_EL_ZERR_E3,462,1300831,2026-08-06T08:20:17.000+00:00
2031388_AUTO,639,1300830,2026-08-06T08:07:09.000+00:00
LIMIT_PASS,8709,1300829,2026-08-06T08:06:00.000+00:00
DUTY_YOUNGUP,5353,1300828,2026-08-06T07:59:48.000+00:00
DUTY_BASIC_LAYOUT1,120,1300827,2026-08-06T07:57:40.000+00:00
DUTY_BASIC_LAYOUT2,30,1300822,2026-08-06T07:38:42.000+00:00
PICK_B120B02,30,1300821,2026-08-06T07:34:48.000+00:00
LIMIT_011_BASIC,289,1300819,2026-08-06T07:12:11.000+00:00
CERTI_D375A,48,1300818,2026-08-06T07:11:10.000+00:00
LIMIT_PASS_SHIPDAT,475,1300817,2026-08-06T07:10:44.000+00:00
7003286_AUTO,53,1300816,2026-08-06T07:07:45.000+00:00
7003286_AUTO,52,1300815,2026-08-06T07:06:44.000+00:00
7003286_AUTO,51,1300814,2026-08-06T07:04:56.000+00:00
7003286_AUTO,50,1300813,2026-08-06T06:56:31.000+00:00
EL_PB121C,31,1300812,2026-08-06T06:55:00.000+00:00
B121A,-1,1131913,2026-08-06T06:43:35.000+00:00
LIMIT_013_OUTSIDE,97,1300811,2026-08-06T06:32:43.000+00:00
2035308_AUTO,335,1300810,2026-08-06T06:29:08.000+00:00
LIMIT_013_OUTSIDE,96,1300809,2026-08-06T06:28:15.000+00:00
B181A01,29,1300808,2026-08-06T06:20:11.000+00:00
2037513,32,1300806,2026-08-06T06:17:27.000+00:00
PICK_B120B02,-1,1216853,2026-08-06T06:07:31.000+00:00
EL_PA115A02,57,1300802,2026-08-06T06:05:17.000+00:00
7009775_AUTO,282,1300798,2026-08-06T05:34:43.000+00:00
SH_PE326A01,-1,1260853,2026-08-06T05:25:38.000+00:00
LIMIT_PASS,8708,1300796,2026-08-06T04:51:16.000+00:00
