요청번호,등록일,의뢰일,접수일,완료일,작업상태,등록부서,현장명,호기번호,기종,용도,작업구분,대분류,중분류,검토요청내용,작업담당자,회신구분,국내해외
NS-2026-1905,20260804132131,20260804144105,,,등록,STO 영업기술팀,백영삼릉빌딩,N29432L01,GTSS,장애,비표준 DUTY 및 사양,LAYOUT,EL 구조물 배치,GTSS 1150kg 에어컨 적용 가능여부 검토(카내부 1500*1700),,,국내
NS-2026-1904,20260804131508,,,,,STO 영업기술팀,장지동 818-2장신축,,GTSS,장애,비표준 DUTY 및 사양,기타, ,GTSS LE 메탈 200JMAB 한판으로 대응 가능 상판 높이 치수 문의의 건,,,국내
NS-2026-1903,20260804131255,,,,,MAJOR영업기술팀  ,"용인푸르지오원클러스터 2,3단지","L37~L41,L48~L49 ",GTSS,장애,비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과","213805L37~L41,L48~L49 비표준 DUTY 요청의 건",,,국내
NS-2026-1902,20260804130042,,,,,해외 영업기술팀,CORALIA,,SUVF,"장애,비상(소방구조용)",비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과",SUVF 1350kg 360mpm 비표준 검토 요청의 건,,,해외
NS-2026-1901,20260804111959,20260804114222,20260804134633,,접수,해외 영업기술팀,CHINABANK MAKATI TOWER ,E226000390L05,WBSS,인승,비표준 DUTY 및 사양,DUTY,표준 카자중 초과,WBSS 기종 DUTY 확인 요청의 건,장민주,,해외
NS-2026-1900,20260803161137,20260803161441,20260804101846,,접수,MAJOR영업기술팀  ,위례택지개발지구 지원2부지(포스코글로벌센터),L03,WBSS,전망,비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과",,장민주,,국내
NS-2026-1899,20260803154037,20260803161050,,,등록,STO 영업기술팀,영동 향군회관,,GTSS,인승,비표준 DUTY 및 사양,LAYOUT,"OH, PIT",GTSS  600kg 60m/min 관통 현장 MIN OH & PIT 문의의 건,,,국내
NS-2026-1898,20260803145721,20260803153431,20260804101454,,접수,해외 영업기술팀,Al-Wareth Hospital,L4,LXVF,인승,비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과","WBLX 3000kg 60mpm 카 자중 초과에 따른 비표준 Duty, OH, PIT 검토 요청의 건",장민주,,해외
NS-2026-1897,20260803145430,20260803153444,20260804101451,,접수,해외 영업기술팀,Al-Wareth Hospital,L4,LXVF,인승,비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과","MR type 2500kg 120mpm 비표준 Duty 및 OH, PIT 검토 요청의 건",장민주,,해외
NS-2026-1896,20260803112321,20260803000000,20260803000000,20260804141007,완료,해외 영업기술팀,가설계 - 홀수년도(해외 직수출),E09992L15,SUVF,비상(소방구조용),비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과",대표모델 초고속 호기 사양 입력을 위한 비표준 DUTY 검토 요청의 건(2000KG 360mpm+CWT SAFETY적용),장민주,조건부 가능,해외
NS-2026-1895,20260803111757,,20260803000000,,접수,리모델링팀,서울아산병원,N29428,LXVF,인화,비표준 DUTY 및 사양,LAYOUT,"OH, PIT",,권용빈,,국내
NS-2026-1894,20260731174717,20260802000000,20260803000000,,접수,STO 영업기술팀,성화빌딩,N29163L01,GTLX,병원,비표준 DUTY 및 사양,의장품,비표준 배열 및 SIZE,OPP-N221A_G  카내부 전면벽 225MM 적용 가능 유 무,권용빈,,국내
NS-2026-1893,20260731163313,20260731171522,20260803085314,,접수,리모델링팀,대방1차e-편한세상,N29301L12,GTLX,비상(소방구조용),비표준 DUTY 및 사양,DUTY,표준 주행거리 초과,[리모델링] 주행거리 56m / 59.7m 벨트 3본 적용 요청의 건,장민주,,국내
NS-2026-1892,20260731131057,20260731000000,20260803000000,20260804131940,완료,MAJOR영업기술팀  ,현대해상 일산사옥 신축공사,A225002233-1~4호기,루젠(LXVF),장애,비표준 DUTY 및 사양,의장품,비표준 의장품 개발(전기),,오찬석,가능,국내
NS-2026-1891,20260731130744,20260731141914,,,등록,MAJOR영업기술팀  ,대한항공 인천공항 T2 IOC 건립공사,214205L01~03,WBSS,장애,비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과",위치표시기(PI-S110) 방화도어 적용 가능여부 검토요청 건,,,국내
NS-2026-1890,20260731103627,20260731000000,20260803000000,,접수,STO 영업기술팀,태평새마을금고(태평동 334-7),213606L01,WBSS2_(SSVF),장애,비표준 DUTY 및 사양,LAYOUT,"OH, PIT",GY55 최소 오버헤드 축소 문의 건,권용빈,,국내
NS-2026-1889,20260731094124,20260731000000,20260803130558,,접수,STO 영업기술팀,청담동 62-37 근린생활시설,214706,WBSS,장애,비표준 DUTY 및 사양,제어,감시반,,오찬석,,국내
NS-2026-1888,20260731090711,20260731000000,20260803000000,,접수,해외 영업기술팀,VINPEAL HON TRE,,WBSS,전망,비표준 DUTY 및 사양,DUTY,표준 카자중 초과,WBSS 1350kg 60mpm 반원전망(SC-419A) 비표준 검토 요청 건,권용빈,,해외
NS-2026-1887,20260731082124,20260731160446,,,등록,영업기술팀,신도브래뉴로얄카운티아파트,N29184L01,WBSS,"전망,장애",비표준 DUTY 및 사양,의장품,비표준 의장품 개발(기계),비표준 사양 검토,,,국내
NS-2026-1886,20260730161146,20260730000000,20260803000000,,접수,MAJOR영업기술팀  ,부천 역곡 A-2BL,,WBSS,"장애,비상(소방구조용)",비표준 DUTY 및 사양,LAYOUT,"OH, PIT",피트 높이 검토요청 건,권용빈,,국내
NS-2026-1885,20260730153508,20260730175143,,,등록,STO 영업기술팀,창동12근생,,GTSS,장애,비표준 DUTY 및 사양,기타, ,,,,국내
NS-2026-1884,20260730152345,20260730000000,20260803000000,20260803151540,완료,STO 영업기술팀,대덕전자 B1센타증축공사,,LXVF,장애,비표준 DUTY 및 사양,기타, ,"LXVF 18인승(1350kg) 속도 105, WBSS 13인승(1000kg) 속도 90, 동력전원 220V 적용 가능 여부 검토 요청드립니다.",오찬석,가능,국내
NS-2026-1883,20260730143007,20260730000000,20260803000000,20260804141012,완료,고속 영업팀,가설계 - 홀수년도(NI N-STO),099993L30,SUVF,인승,비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과",,장민주,조건부 가능,국내
NS-2026-1882,20260730134543,20260730152552,,,등록,STO 영업기술팀,"강릉 안현유원지 조성사업 A,C동(아트스페이스,스테이)",,WBSS,장애,비표준 DUTY 및 사양,DUTY,표준 주행거리 미달,"WBSS 21인승 속도 150, 주행거리 17m, 속도 및 최소 주행거리 문의",,,국내
NS-2026-1881,20260730132024,20260730000000,20260803000000,20260803163115,완료,리모델링팀,디디에이(DDA) 빌딩,L01,GTLX,인승,비표준 DUTY 및 사양,LAYOUT,EL 구조물 배치,"GTLX, TM GH25SC, 상해산 제품으로 카 중심~균형추 중심 815 적용, M/C FOUNDATION 검토 요청의 건",권용빈,,국내
NS-2026-1880,20260730103941,20260730141033,20260803111153,,접수,리모델링팀,장암푸르지오1단지아파트,N29235L01,GTLX,"장애,비상(소방구조용)",비표준 DUTY 및 사양,DUTY,표준 주행거리 초과,,장민주,,국내
NS-2026-1879,20260730103932,20260730000000,20260803000000,,접수,STO 영업기술팀,경희대 공학관 분관,,GTSS,인승,비표준 DUTY 및 사양,LAYOUT,EL 구조물 배치,,권용빈,,국내
NS-2026-1878,20260730103905,20260730124245,20260803111206,,접수,STO 영업기술팀,유한대학교 학생회관 증축,,WBSS,"누드,장애",비표준 DUTY 및 사양,기타, ,"WBSS 24인승 속도 60, 누드, TM 관련 제한조건 발생, 검토 요청드립니다.",장민주,,국내
NS-2026-1877,20260730084316,20260730000000,20260803000000,20260803163127,완료,리모델링팀,면목한신아파트,N28957L01,GTLX,인승,비표준 DUTY 및 사양,LAYOUT,EL 구조물 배치,,권용빈,,국내
NS-2026-1876,20260730083526,20260730083728,,20260803142304,완료,STO 영업기술팀,대조동186-17근생 및 업무시설,,GTSS,장애,비표준 DUTY 및 사양,LAYOUT,EL 구조물 배치,,,,국내
NS-2026-1875,20260729170418,20260730134855,20260803085329,,접수,고속 영업팀,서울아산병원 중립자센터,,SUVF,"인화,장애",비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과",비표준 DUTY,장민주,조건부 가능,국내
NS-2026-1874,20260729165235,20260730134850,20260803085333,,접수,고속 영업팀,서울아산병원 중립자센터,,WBHSS,"누드,장애",비표준 DUTY 및 사양,DUTY,"표준 속도, 용량 초과",비표준 DUTY,장민주,조건부 가능,국내
NS-2026-1873,20260729161215,20260729164732,,,등록,STO 영업기술팀,아산시 음봉일반산업단지 A3-2-1(음봉면 동암리 306-5,,GTSS,누드,비표준 DUTY 및 사양,기타, ,"GTSS 21인승 속도 60 전망, WALL 재질 총칭 선정오류 제한조건 발생, 검토 요청드립니다.",,,국내
NS-2026-1872,20260729160751,20260729164634,20260803111221,,접수,STO 영업기술팀,유한대 학생회관증축,,WBSS,"누드,장애",비표준 DUTY 및 사양,기타, ,"WBSS 24인승 속도 60, 누드, TM 관련 제한조건 발생, 검토 요청드립니다.",장민주,,국내
NS-2026-1871,20260729124702,20260729000000,20260803000000,,접수,STO 영업기술팀,아트스크린골프,N29203L01,GTLX,인승,비표준 DUTY 및 사양,LAYOUT,EL 구조물 배치,"GTLX 후락, 승강로 PP와 기계실 PP값을 차이나게 적용 가능 여부 검토",권용빈,,국내
