COLUMN,TITLE,VAL_213249L36,VAL_210003L45,DEC_213249L36,DEC_210003L45
CO_DPEXQ1,교환기(1) 대수,36,44,,
CO_ELQTY,E/L 대수,36.0,44.0,,
CO_QTDAT,CO_QTDAT,20260120,20241127,,
DESIGNER,designer,"7003411,7003286,","7009775,2037513,",,
EBOM_MANAGER,ebom_manager,전동근,이여진,,
EL_ALOCT,설치지역,05,08,,
EL_ARDR,RENDERING,,2248972917,,
EL_ASPC,시방서,2500083024,,DW_01,
EL_BCBTPL,버튼 누름판 도금(CAR),2798326957,,,
EL_BCDC,DOOR 색상/무늬,,SE2302,,
EL_BCDM,DOOR 재질,2501286202,2501279858,GLASTL_DE,SUSET_304
EL_BCI,CAGE 인테리어 적용,2500083899,,,
EL_BCIT,CAGE 인테리어 타입,2500083966,,,
EL_BCL,천장종류,2501389015,2500811464,INT,CD199A_1
EL_BCLC,천장색상,p022,,,
EL_BCLCD,LCD ; 사양,2701645546,,,
EL_BCLCDL,LCD;취부위치,2500084263,,FR,
EL_BCLCDQ,LCD ; 수량,2,,,
EL_BCLPS,◎ CEILING PLATE,2500083537,,,
EL_BCPI,CPI,,2500813817,,
EL_BETC,TRANSOM 색상/무늬,TR칼라 블랙비드블라스트,,,
EL_BETM,TRANSOM 재질/무늬,2500819266,2500286983,TR_BDBL,SUSHL_304
EL_BFSPC,FLOOR사양,렌더링참조,BL05,,
EL_BHOPB,장애인용 OPB,2701858099,2701858097,,
EL_BHOPBM,장애자 OPB : 재질,2701847113,2701841316,,
EL_BHR,HANDRAIL,,2500811504,,
EL_BKPC,◎ KICK PLATE 색상/무늬,KCC가루멜EX4420 S/SEPIA(DW)유광,,,
EL_BKPL,KICK PLATE,2501286192,2500024065,,
EL_BMOPB,MAIN OPB사양,2701813522,2701761472,N280A,N264A
EL_BMOPBM,MAIN OPB : 재질,2701847113,2701841316,,
EL_BSFED,SAFETY EDGE,2500003896,2501287962,,
EL_BSOPB,SUB OPB ; 사양,2701813522,2701761472,,
EL_BWC01,1.WALL;좌측전면 색상/무늬,TR칼라 블랙비드블라스트,,,
EL_BWC03,3. WALL;좌측면중앙 색상/무늬,,SE2302,,
EL_BWC05,5. WALL;후면좌면 색상/무늬,TR칼라 블랙비드블라스트,,,
EL_BWC06,6. WALL;후면중앙 색상/무늬,TR칼라 블랙비드블라스트,,,
EL_BWC07,7. WALL;후면우면 색상/무늬,TR칼라 블랙비드블라스트,,,
EL_BWC09,9.WALL;우측면중앙 색상/무늬,,SE2302,,
EL_BWC11,11.WALL;우측전면 색상/무늬,TR칼라 블랙비드블라스트,,,
EL_BWM01,1.WALL;좌측전면 재질,2500819266,2500286983,,
EL_BWM02,2.WALL;좌측면전면 재질,2500819166,2500286983,,
EL_BWM03,3. WALL;좌측면중앙 재질,2500819166,2501279858,,
EL_BWM04,4. WALL;좌측면후면 재질,2500819166,2500286983,,
EL_BWM05,5. WALL;후면좌면 재질,2500819266,2500286983,,
EL_BWM06,6. WALL;후면중앙 재질,2500819266,,,
EL_BWM07,7. WALL;후면우면 재질,2500819266,2500286983,,
EL_BWM08,8. WALL;우측면후면 재질,2500819166,2500286983,,
EL_BWM09,9.WALL;우측면중앙 재질,2500819166,2501279858,,
EL_BWM10,10.WALL;우측면전면 재질,2500819166,2500286983,,
EL_BWM11,11.WALL;우측전면 재질,2500819266,2500286983,,
EL_CHDC0,DOOR색상/무늬_(CP),,SE2302,,
EL_CHDC1,DOOR색상/무늬_(1),,SE2302,,
EL_CHDM0,DOOR재질_(CP),2501286202,2501279858,,
EL_CHDM1,DOOR재질_(1),2501286202,2501279858,,
EL_CHPB0,BUTTON_(CP),2719183407,2701761349,,
EL_CHPB1,BUTTON_(1),2719183407,2701761349,,
EL_CHPBMA0,BUTTON 재질_(CP),,2701841316,,
EL_CHPBMA1,BUTTON 재질_(1),,2701841316,,
EL_CJAMBC0,JAMB색상/무늬_(CP),KCC가루멜EX4420 S/SEPIA(DW)유광,,,
EL_CJAMBC1,JAMB색상/무늬_(1),KCC가루멜EX4420 S/SEPIA(DW)유광,,,
EL_CJAMBM0,JAMB재질_(CP),2500819166,2500286983,,
EL_CJAMBM1,JAMB재질_(1),2500819166,2500286983,,
EL_DCAIR,CAR 에어컨,2812147844,2500000827,,
EL_DCCTV,CCTV 카메라,2500000830,2500004307,,
EL_DCEEE,천장 구출구 적용,2248972918,2248972917,,
EL_DCLCP,제어반 전원표시램프,2248972917,,,
EL_DCRG,RGS 적용,,2500818119,,CAR
EL_DDH,DOOR HOLD,2248972917,,,
EL_DHSC,HATCH SILL 물막이 판,,2248972917,,
EL_DLATT,전력회생형 적용,2248972917,,,
EL_DRBVPL,레일브라켓 방진 라이너,,2702155475,,
EL_DRBVPLQ,레일브라켓 방진 라이너 적용단수,,6,,
EL_DSPD,SPD(20KA),,2248972917,,
EL_DTB,TOOL BOX,2248972917,,,
EL_E1BRH1,◎ H1 1st BRKT,N,Y,,
EL_ECAA,CAR 외부가로 ; AA,1690,1710,,
EL_ECBB,CAR 외부세로 ; BB,2160,2110,,
EL_ECBG,CAR; BG,1730,1750,,
EL_ECBUFBH,◎ CAR BUFFER BLOCKING 높이,880,1030,,
EL_ECCA,CAR 내부가로 ; CA ,1630,1650,,
EL_ECCB,CAR 내부세로 ; CB,1900,1850,,
EL_ECCTVP,◎ CCTV CAMERA 위치,,2501001900,,
EL_ECDOP,◎ CAR DOOR OPER,2865888105,2500591078,,
EL_ECEE,CAR 무게중심 ; EE,1080,1055,,
EL_ECGSH,CAR; GUIDE SHOE,2500000922,2500201007,,
EL_ECHH,도어높이;HH,2200,2100,,
EL_ECHOR,CAR중심 가로,1350,1300,,
EL_ECN,설치호기명,36,41,,
EL_ECSL,◎ 적용하중 (CAR),2960,2820,,
EL_ECVER,CAR중심 세로,1250,1255,,
EL_ECW,CAR자중,1610,1470,,
EL_ECWAD,CAR 추가 의장 무게 (전체),238,,,
EL_ECWSL,◎ 적용하중 (CWT),2285,2145,,
