code,codeName,typeName,typeVal,name
EL_ATYP,기종,◎ GTLX_R,GTLX_R,기종
EL_BMDL,표준의장,N:EX 어반2 (단종),NEX_PS2,카내사양표준의장
EL_ATYP,기종,◎ GTSS_R,GTSS_R,기종
EL_EHPB,피트하부통로,Yes,Y,YESORNO
EL_DKEY,교체공사(MIG용),Yes,Y,YESORNO
EL_DPK,PARKING KEY,Yes,Y,YESORNO
EL_CRS,피난용SPEAKER 공급,Yes,Y,YESORNO
EL_DRV,행선층 예약시스템,Yes,Y,YESORNO
EL_DATT,운전원서비스,Yes,Y,YESORNO
EL_DHE,응급운전,Yes,Y,YESORNO
EL_DDH,DOOR HOLD,Yes,Y,YESORNO
EL_DSEC,방범운전,Yes,Y,YESORNO
EL_DNICD,NI-CD 베터리,Yes,Y,YESORNO
EL_DLATT,전력회생형 적용,Yes,Y,YESORNO
EL_DEMP,비상발전기 운전,Yes,Y,YESORNO
EL_DMRCP,기계실 양중구 막음판,Yes,Y,YESORNO
EL_DMRA,기계실 에어컨,Yes,Y,YESORNO
EL_DTS,기계실 온도 감지기,Yes,Y,YESORNO
EL_DELCB,누전차단기,Yes,Y,YESORNO
EL_DAMM,전류계,Yes,Y,YESORNO
EL_DCLCP,제어반 전원표시램프,Yes,Y,YESORNO
EL_DSPD,SPD(20KA),Yes,Y,YESORNO
EL_DCNTR,COUNTER,Yes,Y,YESORNO
EL_DLAMP,소방 E/L 기계실 LAMP 공급,Yes,Y,YESORNO
EL_DDPR,국산 RAIL 적용,Yes,Y,YESORNO
EL_DDROPE,국산 ROPE 적용,Yes,Y,YESORNO
EL_ESPB,중간빔 공급,Yes,Y,YESORNO
changecheck_e,공사정보변경확인_전기,Yes,Y,YESORNO
changecheck_m,공사정보변경확인_기계,Yes,Y,YESORNO
EL_DEPHWL,비상통화장치 무선,Yes,Y,YESORNO
EL_ETHRU,관통여부,Yes,Y,YESORNO
EL_DCEEE,천장 구출구 적용,Yes,Y,YESORNO
EL_DITEMUSE,부품교체공사,Yes,Y,YESORNO
EL_BFLOORL,FLOOR LIGHT,Yes,Y,YESORNO
EL_DHFGAD,손끼임 방지장치,Yes,Y,YESORNO
EL_CHCARD1,카드키;적용_(1),Yes,Y,YESORNO
EL_CHCARD2,카드키;적용_(2),Yes,Y,YESORNO
EL_CHCARD3,카드키;적용_(3),Yes,Y,YESORNO
EL_CHCARD0,카드키;적용_(CP),Yes,Y,YESORNO
EL_DG2,◎ (재사용) GROUP 200,Yes,Y,YESORNO
EL_DDT,기계실 덕트 적용 ,Yes,Y,YESORNO
EL_FDWUFSC,FIRE SWITCH 재시공,Yes,Y,YESORNO
EL_ERBSF,RAIL BRKT (균형추) : 측면고정적용,Yes,Y,YESORNO
EL_DTB,TOOL BOX,Yes,Y,YESORNO
EL_DCP,CAR 의장 전면방음패드,Yes,Y,YESORNO
EL_DHFGAD2,손끼임 방지장치,Yes,Y,YESORNO
EL_DHFGAD3,손끼임 방지장치,Yes,Y,YESORNO
EL_DHFGAD0,손끼임 방지장치,Yes,Y,YESORNO
EL_DHFGAD5,손끼임 방지장치,Yes,Y,YESORNO
EL_DHFGAD6,손끼임 방지장치,Yes,Y,YESORNO
EL_DHFGAD7,손끼임 방지장치,Yes,Y,YESORNO
EL_CHCARD5,카드키;적용_(5),Yes,Y,YESORNO
EL_CHCARD6,카드키;적용_(6),Yes,Y,YESORNO
EL_CHCARD7,카드키;적용_(7),Yes,Y,YESORNO
EL_DHFGAD4,손끼임 방지장치,Yes,Y,YESORNO
EL_CHCARD4,카드키;적용_(4),Yes,Y,YESORNO
EL_DIOS,교체공사 의장 판금부품 외주 적용,Yes,Y,YESORNO
EL_DHSC,HATCH SILL 물막이 판,Yes,Y,YESORNO
EL_CHDET0,DOOR엣칭테둘림_(CP),Yes,Y,YESORNO
EL_A3DIT,세자리 층표시,Yes,Y,YESORNO
EL_ARDR,RENDERING,Yes,Y,YESORNO
EL_DFHCB,HANGER CASE BRACKET 현장실측,Yes,Y,YESORNO
EL_DETS,◎ ETS 적용,Yes,Y,YESORNO
EL_ASPLY,일식외주 여부,Yes,Y,YESORNO
