특성코드,값
EL_ARDR,
EL_ECPFB,
EL_DMNTBF,ETC
EL_DRBVPLQ,
EL_ZERR_A_3,
EL_ZERR_A_2,
EL_AMS,
EL_AMR,
EL_ZERR_A_1,
EL_BTEXT2,
EL_ARFT7,
EL_BTEXT1,
EL_BTEXT6,
EL_BTEXT5,
EL_BTEXT4,
EL_BTEXT3,
EL_DMNTAF,ETC
EL_CJAMBT5,
EL_CRS,
EL_CJAMBT6,
EL_CJAMBT7,
EL_CJAMBT1,JP200_덧씌우기
EL_CJAMBT2,
EL_CJAMBT3,
EL_CJAMBT4,
PHONE2,
EL_DCBKHP,
EL_CJAMBT0,
EL_DEVIP,
EL_ARFQ,0
EL_DSETUP,기타
EL_ASPCD,
MD$NUMBER,N09994L04
EL_DAIVISION,
EL_BWMT,NXP_SUS
EL_FCCHNC,
EL_BOPBMINI,
EL_A3DIT,
EL_ARFT0,
EL_BTEXT9,
EL_ARFT2,
EL_BTEXT8,
EL_ARFT1,
EL_BTEXT7,
EL_ARFT4,
EL_ARFT3,
EL_ARFT6,
EL_ARFT5,
EL_CHCRD,
EL_ZFDB,20260604
EL_ZFDC,20260612
EL_ZFDA,20260604
EL_DHKL,
EL_ZFDD,20260612
EL_AGRS,
EL_BWCAD,
EL_EMRB,
FL_FEPLAW,
EL_EMRA,
EL_BHRP,후면
EL_ARF,
EL_FNS1,
EL_FNS2,
EL_DCPEX,
EL_DLAMP,
EL_ZERR_C_3,
EL_ZERR_C_2,
EL_ZERR_C_1,"생산거점이 국내+상해임!!!! (주의!!!)
"
EL_BHOPBOC,
CHANGECHECK_E,
EL_BCCRDF,
EL_CMRLHDRD,
EL_BCCRDA,
EL_ZERR_E2_2,
EL_ZERR_E2_3,
EL_BWPP,
EL_ZERR_E2_1,
EL_DCAIR,
EL_FNS5,
EL_FNS6,
EL_FNS3,
EL_FNS4,
EL_FNS7,
EL_CPRSWM,
EL_ATF,"1,2,3,4,5,6"
EL_DHSBTQ,
EL_DFJC,
EL_ECAA,1300
EL_EHFIX,
EL_ECBG,1350
EL_ECBA,50
EL_CJAMBM6,
EL_BMOPBO,CO
EL_CJAMBM7,
EL_ECBB,1605
EL_BMOPBM,SUSMIR
EL_ANSTQ,0
EL_DJSB,
EL_FDBRC,
EL_DVICI,
EL_CTEXT1,
EL_CTEXT2,
EL_CTEXT3,
EL_CTEXT4,
EL_CTEXT5,
EL_CTEXT6,
EL_CTEXT7,
EL_AMRP,
EL_ETMINV,9
EL_DACAPA,750
EL_CHIPBS,
VF$IDENTITY,2856200010
EL_AVER,
EL_CTEXT8,
EL_DMCBWH,
EL_CTEXT9,
EL_DATYP,STVF
EL_EMRLHSCP,
EL_CHPBMA4,
EL_CHPBMA3,
EL_EFOEE,
EL_CHPBMA6,
EL_CHPBMA5,
EL_BWET,
EL_CHPBMA7,
EL_DCLCP,
EL_DFHSS,Y
EL_ZORINO,N09994L04
EL_DATT,
EL_DHSBT,
EL_BCLCD2,
CO_QTDAT,
EL_DCWFRSP,
EL_CHPBMA0,
EL_FHDOC,
EL_CHPBMA2,
EL_FCRC,
EL_CHPBMA1,
EL_DLATT,
EL_CHPBBLT,
EL_DPSC,
CHANGECHECK_M,
EL_DHSE5,
EL_DHSE4,
EL_DHSE3,
MD$MDATE,20260612154349
EL_DHSE2,
EL_DHSE1,Yes
ARKTX,GTLX PS10-1SCO60-6
EL_DHSE0,
EL_CHDGD2,
EL_CHDGD3,
EL_DCCTV,(디지털) 동축 CABLE+UTP변환기
EL_CHDGD0,
EL_CHDGD1,
EL_DHSE7,
EL_ESWH,
EL_DHSE6,
EL_CHPB7,
EL_AOPEN,1SCO
EL_CHDGD6,
EL_CHDGD7,
EL_CHDGD4,
EL_CHDGD5,
EL_CHPB0,
EL_CHIPFS,
EL_DHFGCSVC,
EL_CHPB2,
EL_CHPB1,HPB_J21
EL_CHPB4,
EL_CHPB3,
EL_CHPB6,
EL_CHPB5,
EL_ATF2,
EL_BCLCDQ,
EL_BCLCDL,
EL_DHDVRF,
EL_ESWV,
EL_DNPR,
EL_DCARB,
EL_FHDPC,
EL_BCLCDD,만원;점검중;이사중 &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160;&#160;
EL_ACD2,한국(2023.03.02개정)
MANAGER_M,유형근
PHONE,01096381939
MANAGER_E,신선애
EL_CHCARD6,
EL_CHCARD5,
EL_CHCARD7,
CO_DPEXQ3,
MD$USER,2031337
CO_DPEXQ2,
CO_DPEXQ1,5
EL_ECWAD,
EL_CHCARD0,
EL_CHCARD2,
EL_CHCARD1,
EL_CHCARD4,
EL_CHCARD3,
EL_DFAN,
EL_DEPHTYP,
EL_ECHED,
EL_BROBOT,
EL_FPHONC,
EL_BOPBBT,
EL_BHOPBCS,
EL_EMOUL,
EL_ECWBG,1200
EL_DELCB,
EL_FTMBC,
EL_DNICD,
EL_DDPR,
EL_CHDET6,
EL_ETMD,
EL_CHDET7,
CO_DAIVISIONTQ,
EL_DHTKC,
EL_ZTEXT_C,
EL_ZTEXT_B,
EL_ZTEXT_E,
EL_ZTEXT_D,
EL_DBMS,
EL_CJAMBC4,
EL_ZERR_M4_2,
EL_CJAMBC5,
EL_ZERR_M4_3,
EL_CJAMBC6,
BDUSE,
EL_CJAMBC7,
EL_ZERR_M4_1,
EL_CJAMBC0,
EL_EFPO4,
EL_CJAMBC1,SILVER(유광)
EL_EFPO5,
EL_CJAMBC2,
EL_EFPO6,
EL_CJAMBC3,
EL_EFPO7,
EL_EFPO0,
EL_EFPO1,
EL_EFPO2,
EL_EFPO3,
EL_ECWSSD,
EL_BSFED,멀티빔 2면 고정형
EL_FHSC,
EL_ATYP,GTLX
EL_DCARIL,Y
EL_CHDET4,
EL_CHDET5,
EL_CHDET2,
EL_CHDET3,
EL_CHDET0,
EL_CHDET1,
EL_ETMM,5.9
EL_DSPD,
EL_CTEXT11,
EL_CTEXT12,
EL_DCWRIL,Y
EL_CTEXT10,
EL_CHPBM7,
EL_CHPBM6,
EL_CHPBM1,
EL_DMCB,
EL_CHPBM0,
EL_AMDLR,
EL_CHPBM5,
EL_CHPBM4,
EL_CHPBM3,
EL_CHPBM2,
EL_DDSS,
EL_EHV,2080
EL_CHLT6,
EL_CHLT5,
EL_EHM,골조
EL_CHLT7,
EL_ZERR3,
EL_EHP,1100
EL_EHO,4500
EL_CHLT0,
EL_CDD,
EL_CHLT2,
EL_EHH,1750
EL_ZERR2,"미품목
"
EL_CHLT1,
EL_ZERR1,
EL_CHLT4,
EL_CHLT3,
EL_ASPSC,국내+상해
EL_EHTRH,16500
EL_DGUSQ,
EL_ECWBUF,U
EL_CHDC4,
EL_CHDC5,
EL_DSRC,No
EL_CHDC6,
EL_CHDC7,
EL_DDTM,
EL_EFHB1,0
EL_EFHB2,0
EL_CHDC0,
EL_CHDC1,SILVER(유광)
EL_CHDC2,
EL_CHDC3,
EL_FCSHVC,
